date,well,pressure,choke_size,prod_days,gas_produced,water_produced,porosity,permeability_md,skin,sw,net_pay_m,chlorides_ppm,top_perf_md,bottom_perf_md,perf_midpoint_md,bhp,gas_gravity
1990-06-01,11,793.1,,,77.526,109.738,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1990-08-01,11,,,,65.268,94.69,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1990-09-01,11,829.3,,,69.106,95.476,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1990-10-01,11,,,,58.766,84.69,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1995-01-01,11,818.5,,,52.968,12.643,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1995-02-01,11,810.4,,,48.694,11.643,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1995-04-01,11,808.9,,,38.684,9.262,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1995-05-01,11,778.2,,,52.389,14.881,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1995-06-01,11,,,,53.485,15.048,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1995-07-01,11,,,,56.618,15.81,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1995-08-01,11,798.5,,,55.929,14.333,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1995-09-01,11,790.8,,,51.283,13.19,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1995-10-01,11,764.7,,,102.77,26.5,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1995-11-01,11,752.0,,,98.209,249.476,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1995-12-01,11,800.5,,,30.083,75.881,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1996-01-01,11,753.0,,,50.803,127.571,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1996-02-01,11,773.3,,,61.841,157.238,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1996-04-01,11,763.1,,,70.336,198.119,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1996-05-01,11,732.8,,,78.315,128.69,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1996-06-01,11,733.0,,,43.627,110.976,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1996-07-01,11,734.7,,,87.492,264.714,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1996-08-01,11,749.5,,,71.772,216.524,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1996-09-01,11,804.0,,,39.597,120.167,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1996-10-01,11,804.0,,,38.324,77.762,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1996-11-01,11,803.0,,,83.729,167.048,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1996-12-01,11,745.1,,,94.585,188.881,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1998-07-01,11,753.2,,,95.507,77.5,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1999-02-01,11,715.3,,,75.79,68.238,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1999-07-01,11,694.5,,,70.979,1.833,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1999-08-01,11,685.5,,,67.553,1.071,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
1999-10-01,11,690.2,,,79.747,3.048,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2000-05-01,11,687.0,,,74.774,49.929,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2000-06-01,11,674.1,,,45.902,30.643,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2000-08-01,11,682.5,,,58.352,38.929,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2000-11-01,11,691.6,,,54.077,2.714,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2001-01-01,11,679.8,,,71.572,5.786,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2001-02-01,11,704.8,,,57.393,4.619,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2001-03-01,11,690.0,,,50.839,1.976,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2001-05-01,11,685.3,,,51.303,2.0,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2001-06-01,11,675.8,,,46.802,1.81,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2001-07-01,11,677.6,,,32.464,1.262,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2001-08-01,11,672.4,,,31.724,0.857,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2001-09-01,11,676.5,,,33.232,0.905,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2001-10-01,11,673.3,,,36.216,2.476,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2001-11-01,11,673.3,,,34.358,2.381,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2001-12-01,11,660.3,,,35.865,2.452,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2002-01-01,11,,,,33.188,79.476,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2002-02-01,11,661.7,,,37.239,88.81,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2002-03-01,11,677.5,,,34.114,81.714,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2002-04-01,11,663.5,,,42.285,101.786,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2002-05-01,11,663.4,,,48.609,116.548,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2002-06-01,11,669.3,,,38.742,93.19,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2002-07-01,11,,,,42.356,101.333,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2002-08-01,11,663.3,,,44.816,15.31,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2002-09-01,11,,,,48.317,16.5,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2002-10-01,11,660.8,,,50.078,17.071,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2002-11-01,11,649.7,,,42.729,14.571,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2002-12-01,11,654.1,,,50.392,3.548,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2003-01-01,11,654.1,,,55.688,3.929,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2003-02-01,11,648.6,,,40.492,2.857,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2003-03-01,11,648.8,,,50.372,3.548,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2003-04-01,11,648.5,,,39.274,2.762,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2003-05-01,11,643.4,,,36.295,2.571,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2003-06-01,11,645.6,,,46.684,3.31,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2003-07-01,11,,,,60.551,4.286,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2003-08-01,11,660.6,,,40.847,2.881,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2003-09-01,11,,,,42.708,3.024,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2003-10-01,11,,,,40.042,2.833,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2003-11-01,11,,,,31.168,3.381,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2003-12-01,11,,,,40.89,4.429,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2004-01-01,11,657.4,,,38.382,21.81,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2004-02-01,11,656.9,,,34.082,2.405,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2004-03-01,11,665.8,,,41.734,43.929,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2004-04-01,11,670.1,,,48.783,51.357,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2004-05-01,11,659.4,,,36.356,2.905,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2004-06-01,11,650.1,,,37.49,3.095,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2004-07-01,11,662.0,,,37.075,1.69,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2004-08-01,11,658.8,,,33.714,2.214,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2004-09-01,11,656.8,,,37.267,6.81,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2004-10-01,11,651.3,,,50.475,91.81,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2004-11-01,11,653.4,,,72.691,169.452,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2004-12-01,11,653.8,,,35.8,3.595,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2005-01-01,11,657.7,,,36.949,3.667,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2005-02-01,11,651.1,,,34.212,4.286,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2005-03-01,11,675.6,,,46.136,29.024,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2005-04-01,11,660.1,,,52.313,33.0,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2005-05-01,11,624.7,,,87.3,334.071,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2005-06-01,11,614.2,,,80.686,270.024,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2005-07-01,11,611.4,,,84.446,298.5,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2005-08-01,11,615.7,,,87.22,320.357,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2005-09-01,11,614.0,,,62.418,225.333,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2005-10-01,11,619.5,,,65.965,205.524,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2005-11-01,11,615.8,,,74.37,311.857,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2005-12-01,11,611.8,,,80.23,395.881,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2006-01-01,11,628.0,,,90.386,452.071,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,843.0,0.7
2006-02-01,11,603.8,,,60.359,275.452,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2006-03-01,11,605.5,,,54.666,244.952,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2006-04-01,11,628.9,,,75.227,333.952,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2006-05-01,11,602.6,,,80.474,357.905,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2006-06-01,11,600.2,,,82.334,371.738,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2006-07-01,11,599.6,,,83.213,373.667,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2006-08-01,11,595.4,,,92.43,452.571,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2006-09-01,11,602.2,,,64.128,279.024,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2006-10-01,11,593.6,,,87.566,358.381,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
2006-11-01,11,594.7,,,83.499,334.452,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,700.25,,0.7
