well,date,gas_mmcf,water_bbl,prod_days,choke_64ths,whfp_psig,line_pressure_psig,bhp_psig
M-11-HRL,1978-03-01,27.372,0.0,,,,,
M-11-HRL,1978-04-01,321.709,47.7,,,,,
M-11-HRL,1978-05-01,299.598,82.46,,,,,
M-11-HRL,1978-06-01,235.951,179.1,,,,,
M-11-HRL,1978-07-01,240.72,145.08,,,,,
M-11-HRL,1978-08-01,212.884,129.27,,,,,
M-11-HRL,1978-09-01,199.322,222.9,,,,,
M-11-HRL,1978-10-01,226.356,442.37,,,,,
M-11-HRL,1978-11-01,168.136,440.4,,,,,
M-11-HRL,1978-12-01,198.517,265.36,,,,,
M-11-HRL,1979-01-01,0.0,0.0,,,,,
M-11-HRL,1979-02-01,0.0,0.0,,,,,
M-11-HRL,1979-03-01,118.452,159.96,,,,,
M-11-HRL,1979-04-01,146.024,123.6,,,,,
M-11-HRL,1979-05-01,165.603,312.48,,,,,
M-11-HRL,1979-06-01,24.634,97.5,,,,,
M-11-HRL,1979-07-01,0.0,0.0,,,,,
M-11-HRL,1979-08-01,0.0,0.0,,,,,
M-11-HRL,1979-09-01,30.209,10.5,,,,,
M-11-HRL,1979-10-01,118.641,156.86,,,,,
M-11-HRL,1979-11-01,155.418,180.0,,,,,
M-11-HRL,1979-12-01,150.461,70.68,,,,,
M-11-HRL,1980-01-01,94.658,337.59,,,,,
M-11-HRL,1980-02-01,0.0,0.0,,,,,
M-11-HRL,1980-03-01,0.0,0.0,,,,,
M-11-HRL,1980-04-01,0.0,0.0,,,,,
M-11-HRL,1980-05-01,0.0,0.0,,,,,
M-11-HRL,1980-06-01,0.0,0.0,,,,,
M-11-HRL,1980-07-01,0.0,0.0,,,,,
M-11-HRL,1980-08-01,0.0,0.0,,,,,
M-11-HRL,1980-09-01,56.075,36.3,,,,,
M-11-HRL,1980-10-01,59.831,41.54,,,,,
M-11-HRL,1980-11-01,0.0,0.0,,,,,
M-11-HRL,1980-12-01,0.0,0.0,,,,,
M-11-HRL,1981-01-01,0.0,0.0,,,,,
M-11-HRL,1981-02-01,0.0,0.0,,,,,
M-11-HRL,1981-03-01,0.0,0.0,,,,,
M-11-HRL,1981-04-01,0.0,0.0,,,,,
M-11-HRL,1981-05-01,0.0,0.0,,,,,
M-11-HRL,1981-06-01,0.0,0.0,,,,,
M-11-HRL,1981-07-01,0.0,0.0,,,,,
M-11-HRL,1981-08-01,0.0,0.0,,,,,
M-11-HRL,1981-09-01,0.0,0.0,,,,,
M-11-HRL,1981-10-01,4.164,0.0,,,,,
M-11-HRL,1981-11-01,140.605,400.2,,,,,
M-11-HRL,1981-12-01,197.513,66.65,,,,,
M-11-HRL,1982-01-01,193.655,252.65,,,,,
M-11-HRL,1982-02-01,134.124,156.52,,,,,
M-11-HRL,1982-03-01,170.499,198.71,,,,,
M-11-HRL,1982-04-01,145.749,169.8,,,,,
M-11-HRL,1982-05-01,152.71,177.94,,,,,
M-11-HRL,1982-06-01,171.762,200.4,,,,,
M-11-HRL,1982-07-01,170.531,198.71,,,,,
M-11-HRL,1982-08-01,173.152,201.81,,,,,
M-11-HRL,1982-09-01,171.936,200.4,,,,,
M-11-HRL,1982-10-01,139.986,163.06,,,,,
M-11-HRL,1982-11-01,109.871,191.1,,,,,
M-11-HRL,1982-12-01,171.558,199.95,,,,,
M-11-HRL,1983-01-01,172.481,201.19,,,,,
M-11-HRL,1983-02-01,142.888,66.08,,,,,
M-11-HRL,1983-03-01,0.0,0.0,,,,,
M-11-HRL,1983-04-01,0.0,0.0,,,,,
M-11-HRL,1983-05-01,0.0,0.0,,,,,
M-11-HRL,1983-06-01,0.0,0.0,,,,,
M-11-HRL,1983-07-01,59.825,69.75,,,,,
M-11-HRL,1983-08-01,209.678,244.59,,,,,
M-11-HRL,1983-09-01,164.141,398.7,,,,,
M-11-HRL,1983-10-01,190.42,669.29,,,,,
M-11-HRL,1983-11-01,148.252,538.2,,,,,
M-11-HRL,1983-12-01,132.866,366.11,,,,,
M-11-HRL,1984-01-01,130.908,81.952,,,,,
M-11-HRL,1984-02-01,141.979,95.238,,,,,
M-11-HRL,1984-03-01,65.894,84.714,,,,,
M-11-HRL,1984-04-01,95.856,2.571,,,,,
M-11-HRL,1984-05-01,109.475,181.048,,,,,
M-11-HRL,1984-06-01,132.301,218.81,,,,,
M-11-HRL,1984-07-01,120.049,198.548,,,,,
M-11-HRL,1984-08-01,115.088,190.333,,,,,
M-11-HRL,1984-09-01,114.661,189.619,,,,,
M-11-HRL,1984-10-01,120.891,199.952,,,,,
