well,porosity,permeability_md,skin,sw,net_pay_m,chlorides_ppm,top_perf_md,bottom_perf_md,gas_gravity,is_horizontal,first_prod_date,last_prod_date,production_months,rkb_elevation_m
M-11-HRL,0.2,7.4,-0.1,0.45,10.5,17000,695.0,705.5,0.7,False,1978-03-01,2025-06-01,568,70.0
M-122H-HRL,0.22,34.0,,0.46,530.0,13000,1020.0,1550.0,0.77,True,2022-12-01,2025-06-01,31,70.0
M-123H-HRL,0.24,22.5,,0.3,802.0,1215,1044.0,1846.0,0.75,True,2023-11-01,2025-06-01,20,70.0
M-124H-HRL,0.22,34.0,,0.46,475.0,10000,918.0,1393.0,0.76,True,2023-12-01,2025-06-01,19,70.0
M-125H-HRL,0.24,22.5,,0.3,758.0,2500,951.0,1709.0,0.75,True,2024-09-01,2025-06-01,10,70.0
M-126H-HRL,0.22,34.0,,0.46,719.0,13000,993.0,1712.0,0.78,True,2024-10-01,2025-06-01,9,70.0
M-13-HRL,0.18,9.5,-2.8,0.31,10.199999999999932,15000,691.6,701.8,0.69,False,1978-08-01,2025-06-01,563,70.0
M-22-HRL,0.19,5.9,5.3,0.42,11.649999999999977,14000,708.75,720.4,0.77,False,1981-10-01,2025-06-01,525,70.0
M-41-HRL,0.17,37.1,-0.1,0.13,10.700000000000045,13000,697.5,708.2,0.69,False,1986-04-01,2025-06-01,471,70.0
M-50-HRL,0.19,17.8,1.4,0.43,10.700000000000045,15000,697.5,708.2,0.76,False,1986-04-01,2025-06-01,471,70.0
M-51-HRL,0.19,7.0,-1.7,0.37,10.0,14000,702.0,712.0,0.77,False,1986-10-01,2025-06-01,465,70.0
M-56-HRL,0.22,5.9,-2.0,0.3,10.200000000000045,23000,690.0,700.2,0.72,False,1993-07-01,2025-06-01,384,70.0
M-57-HRL,0.22,8.6,-2.5,0.28,11.344799999999964,18000,690.0,701.3448,0.75,False,1993-07-01,2025-06-01,384,70.0
M-58-HRL,0.21,3.8,-1.9,0.36,10.5,14000,697.3,707.8,0.76,False,1993-07-01,2025-06-01,384,70.0
M-61-HRL,0.24,17.2,-0.5,0.31,12.0,12000,711.0,723.0,0.8,False,1993-12-01,2025-06-01,379,70.0
M-63-HRL,0.23,21.8,-1.5,0.21,10.700000000000045,17000,711.5,722.2,0.75,False,1994-01-01,2025-06-01,378,70.0
M-65-HRL,0.21,22.2,-2.4,0.19,15.240185320653495,16000,711.4118507681053,726.6520360887588,0.72,False,1996-08-01,2025-06-01,347,70.0
M-67-HRL,0.2,8.2,-1.2,0.26,9.144111192392188,16000,716.2887100707144,725.4328212631066,0.76,False,1996-08-01,2025-06-01,347,70.0
M-75-HRL,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,0.74,False,2004-07-01,2025-06-01,252,70.0
M-81-HRL,0.2,6.8,-2.5,0.35,11.5,7000,704.5,716.0,0.77,False,2004-07-01,2025-06-01,252,70.0
M-82-HRL,0.2,3.3,-1.7,0.35,11.099999999999909,14000,714.2,725.3,0.77,False,2003-10-01,2025-06-01,261,70.0
M-E-2-HRL,0.22,23.6,3.8,0.42,6.096074128261307,14000,729.7000731528896,735.7961472811509,0.78,False,2013-03-01,2025-06-01,148,70.0
