subset,n_models,strategy,c_index,mae_events,median_error,max_error
Cox+Weib,2,Simple Mean,0.769,168.4,84.1,791.0
Cox+Weib,2,Trimmed Mean,0.769,168.4,84.1,791.0
Cox+Weib,2,Median,0.769,168.4,84.1,791.0
Cox+Weib,2,Geometric Mean,0.769,160.5,84.2,791.0
Cox+Weib,2,Inv-MAE Weighted,0.778,161.2,83.2,791.0
Cox+Weib,2,Rank Fusion,0.802,93.5,91.2,198.3
Cox+XGBc,2,Simple Mean,0.736,105.8,89.9,287.3
Cox+XGBc,2,Trimmed Mean,0.736,105.8,89.9,287.3
Cox+XGBc,2,Median,0.736,105.8,89.9,287.3
Cox+XGBc,2,Geometric Mean,0.726,105.1,92.4,235.3
Cox+XGBc,2,Inv-MAE Weighted,0.736,105.8,86.3,313.6
Cox+XGBc,2,Rank Fusion,0.774,104.8,91.8,241.3
Cox+XGBa,2,Simple Mean,0.792,81.9,64.3,265.0
Cox+XGBa,2,Trimmed Mean,0.792,81.9,64.3,265.0
Cox+XGBa,2,Median,0.792,81.9,64.3,265.0
Cox+XGBa,2,Geometric Mean,0.764,60.8,49.7,180.6
Cox+XGBa,2,Inv-MAE Weighted,0.774,79.9,66.2,223.5
Cox+XGBa,2,Rank Fusion,0.84,75.8,74.3,209.1
Cox+GBSA,2,Simple Mean,0.816,154.3,101.2,791.0
Cox+GBSA,2,Trimmed Mean,0.816,154.3,101.2,791.0
Cox+GBSA,2,Median,0.816,154.3,101.2,791.0
Cox+GBSA,2,Geometric Mean,0.825,149.5,85.8,791.0
Cox+GBSA,2,Inv-MAE Weighted,0.816,151.9,95.7,791.0
Cox+GBSA,2,Rank Fusion,0.896,70.0,51.3,163.8
Cox+CWGB,2,Simple Mean,0.745,143.1,74.7,756.5
Cox+CWGB,2,Trimmed Mean,0.745,143.1,74.7,756.5
Cox+CWGB,2,Median,0.745,143.1,74.7,756.5
Cox+CWGB,2,Geometric Mean,0.745,141.1,71.5,756.0
Cox+CWGB,2,Inv-MAE Weighted,0.745,142.7,73.5,758.6
Cox+CWGB,2,Rank Fusion,0.792,91.2,88.4,206.8
Cox+Stk,2,Simple Mean,0.783,110.0,63.2,600.5
Cox+Stk,2,Trimmed Mean,0.783,110.0,63.2,600.5
Cox+Stk,2,Median,0.783,110.0,63.2,600.5
Cox+Stk,2,Geometric Mean,0.783,108.3,61.2,582.4
Cox+Stk,2,Inv-MAE Weighted,0.783,108.1,61.6,574.1
Cox+Stk,2,Rank Fusion,0.802,96.4,91.2,198.3
Weib+XGBc,2,Simple Mean,0.745,132.0,109.9,312.7
Weib+XGBc,2,Trimmed Mean,0.745,132.0,109.9,312.7
Weib+XGBc,2,Median,0.745,132.0,109.9,312.7
Weib+XGBc,2,Geometric Mean,0.736,96.5,62.3,242.9
Weib+XGBc,2,Inv-MAE Weighted,0.736,122.3,116.8,231.4
Weib+XGBc,2,Rank Fusion,0.764,103.8,86.9,241.3
Weib+XGBa,2,Simple Mean,0.802,111.4,80.4,333.4
Weib+XGBa,2,Trimmed Mean,0.802,111.4,80.4,333.4
Weib+XGBa,2,Median,0.802,111.4,80.4,333.4
Weib+XGBa,2,Geometric Mean,0.811,66.1,42.3,191.1
Weib+XGBa,2,Inv-MAE Weighted,0.811,87.6,93.3,197.6
Weib+XGBa,2,Rank Fusion,0.792,88.9,87.2,243.5
Weib+GBSA,2,Simple Mean,0.816,186.2,84.9,791.0
Weib+GBSA,2,Trimmed Mean,0.816,186.2,84.9,791.0
Weib+GBSA,2,Median,0.816,186.2,84.9,791.0
Weib+GBSA,2,Geometric Mean,0.816,178.8,85.1,791.0
Weib+GBSA,2,Inv-MAE Weighted,0.816,185.0,84.2,791.0
Weib+GBSA,2,Rank Fusion,0.84,82.0,68.8,174.6
Weib+CWGB,2,Simple Mean,0.764,176.4,109.7,756.5
Weib+CWGB,2,Trimmed Mean,0.764,176.4,109.7,756.5
Weib+CWGB,2,Median,0.764,176.4,109.7,756.5
Weib+CWGB,2,Geometric Mean,0.774,165.4,114.2,756.0
Weib+CWGB,2,Inv-MAE Weighted,0.774,172.6,104.7,751.8
Weib+CWGB,2,Rank Fusion,0.764,89.5,88.3,275.7
Weib+Stk,2,Simple Mean,0.783,149.8,85.4,600.5
Weib+Stk,2,Trimmed Mean,0.783,149.8,85.4,600.5
Weib+Stk,2,Median,0.783,149.8,85.4,600.5
Weib+Stk,2,Geometric Mean,0.783,135.7,85.9,582.4
