wgr_threshold,sustained_months,n_events,method,c_index,mae_events,median_error,max_error,skipped
1,1,12,Cox PH,0.598,230.1,43.0,1194.0,False
1,1,12,Weibull AFT,0.638,219.0,21.9,1194.0,False
1,1,12,XGB Cox,0.594,62.5,48.0,221.6,False
1,1,12,XGB AFT,0.571,50.8,27.7,142.7,False
1,1,12,sksurv GBSA,0.679,92.6,43.1,424.7,False
1,1,12,sksurv CWGB,0.688,204.6,153.1,764.6,False
1,1,12,Stacked,0.554,213.9,41.3,1153.4,False
1,1,12,Simple Mean,0.67,136.5,40.1,705.3,False
1,1,12,Trimmed Mean,0.625,137.8,33.0,735.9,False
1,1,12,Median,0.603,124.7,36.3,764.6,False
1,1,12,Geometric Mean,0.634,94.8,30.5,472.3,False
1,1,12,Inv-MAE Weighted,0.67,92.3,30.7,433.7,False
1,1,12,Rank Fusion,0.625,205.5,182.5,556.0,False
1,2,12,Cox PH,0.585,233.3,47.5,1194.0,False
1,2,12,Weibull AFT,0.603,214.5,22.5,1194.0,False
1,2,12,XGB Cox,0.58,61.9,48.4,216.3,False
1,2,12,XGB AFT,0.536,54.3,33.9,143.8,False
1,2,12,sksurv GBSA,0.661,100.7,42.8,441.1,False
1,2,12,sksurv CWGB,0.661,232.2,168.1,822.5,False
1,2,12,Stacked,0.554,203.1,44.6,1042.3,False
1,2,12,Simple Mean,0.643,137.3,44.6,700.7,False
1,2,12,Trimmed Mean,0.607,139.7,35.5,728.7,False
1,2,12,Median,0.585,137.1,33.9,822.5,False
1,2,12,Geometric Mean,0.616,97.0,32.8,477.2,False
1,2,12,Inv-MAE Weighted,0.643,95.3,32.3,438.3,False
1,2,12,Rank Fusion,0.598,207.3,169.0,556.0,False
1,3,12,Cox PH,0.576,231.5,43.0,1194.0,False
1,3,12,Weibull AFT,0.612,199.2,23.1,1194.0,False
1,3,12,XGB Cox,0.585,63.5,55.5,215.5,False
1,3,12,XGB AFT,0.545,54.8,40.7,140.6,False
1,3,12,sksurv GBSA,0.643,103.8,39.6,458.4,False
1,3,12,sksurv CWGB,0.679,219.4,159.8,801.4,False
1,3,12,Stacked,0.536,201.0,39.6,1065.4,False
1,3,12,Simple Mean,0.643,134.1,44.3,703.0,False
1,3,12,Trimmed Mean,0.607,135.1,34.9,732.0,False
1,3,12,Median,0.576,130.5,33.9,801.4,False
1,3,12,Geometric Mean,0.616,94.8,33.9,478.1,False
1,3,12,Inv-MAE Weighted,0.643,94.7,34.5,450.3,False
1,3,12,Rank Fusion,0.598,202.4,169.0,556.0,False
1,4,12,Cox PH,0.594,229.5,41.5,1194.0,False
1,4,12,Weibull AFT,0.594,183.1,24.3,1194.0,False
1,4,12,XGB Cox,0.567,65.6,55.4,215.6,False
1,4,12,XGB AFT,0.5,56.0,35.0,138.1,False
1,4,12,sksurv GBSA,0.616,104.2,42.7,480.8,False
1,4,12,sksurv CWGB,0.67,212.3,156.8,791.6,False
1,4,12,Stacked,0.571,180.6,40.4,954.8,False
1,4,12,Simple Mean,0.634,127.6,44.8,688.7,False
1,4,12,Trimmed Mean,0.58,127.2,34.5,711.9,False
1,4,12,Median,0.576,125.9,32.1,791.6,False
1,4,12,Geometric Mean,0.589,92.4,33.9,472.2,False
1,4,12,Inv-MAE Weighted,0.634,92.9,33.4,459.7,False
1,4,12,Rank Fusion,0.598,201.0,185.5,556.0,False
1,6,12,Cox PH,0.665,228.3,33.0,1154.0,False
1,6,12,Weibull AFT,0.665,193.1,25.8,1154.0,False
1,6,12,XGB Cox,0.562,68.2,41.8,218.4,False
1,6,12,XGB AFT,0.607,53.5,29.9,159.1,False
1,6,12,sksurv GBSA,0.696,98.1,63.8,454.8,False
1,6,12,sksurv CWGB,0.696,234.4,188.3,848.2,False
1,6,12,Stacked,0.607,189.8,33.2,916.1,False
1,6,12,Simple Mean,0.67,132.0,48.5,666.4,False
1,6,12,Trimmed Mean,0.661,130.8,28.3,694.9,False
1,6,12,Median,0.643,134.2,29.8,848.2,False
1,6,12,Geometric Mean,0.652,95.6,29.7,451.2,False
1,6,12,Inv-MAE Weighted,0.688,93.5,31.1,423.5,False
1,6,12,Rank Fusion,0.625,201.1,166.5,516.0,False
2,1,12,Cox PH,0.63,258.9,97.5,1192.0,False
2,1,12,Weibull AFT,0.634,258.4,82.8,1192.0,False
2,1,12,XGB Cox,0.565,107.0,85.4,273.3,False
2,1,12,XGB AFT,0.546,92.5,57.4,251.0,False
2,1,12,sksurv GBSA,0.583,200.1,98.4,814.1,False
2,1,12,sksurv CWGB,0.583,246.4,215.3,922.8,False
2,1,12,Stacked,0.602,197.7,100.9,845.6,False
2,1,12,Simple Mean,0.63,181.0,78.9,746.3,False
2,1,12,Trimmed Mean,0.63,182.2,84.0,783.6,False
2,1,12,Median,0.611,197.4,89.4,845.6,False
2,1,12,Geometric Mean,0.62,140.0,75.5,552.7,False
2,1,12,Inv-MAE Weighted,0.639,151.8,78.3,569.7,False
2,1,12,Rank Fusion,0.63,188.4,187.1,554.0,False
2,2,12,Cox PH,0.679,250.1,73.5,1134.0,False
2,2,12,Weibull AFT,0.683,249.5,69.3,1134.0,False
2,2,12,XGB Cox,0.647,101.8,59.6,277.5,False
2,2,12,XGB AFT,0.606,91.6,60.0,262.7,False
2,2,12,sksurv GBSA,0.67,171.5,118.5,687.1,False
2,2,12,sksurv CWGB,0.587,204.9,137.8,837.2,False
2,2,12,Stacked,0.624,209.0,123.2,776.8,False
2,2,12,Simple Mean,0.651,169.2,66.9,672.4,False
2,2,12,Trimmed Mean,0.67,169.3,76.8,703.1,False
2,2,12,Median,0.67,172.3,74.2,776.8,False
2,2,12,Geometric Mean,0.67,130.2,71.1,482.2,False
2,2,12,Inv-MAE Weighted,0.661,141.1,74.4,504.7,False
2,2,12,Rank Fusion,0.642,186.3,184.2,496.0,False
2,3,12,Cox PH,0.688,238.8,53.0,1134.0,False
2,3,12,Weibull AFT,0.683,240.0,66.8,1134.0,False
2,3,12,XGB Cox,0.638,114.6,79.1,273.3,False
2,3,12,XGB AFT,0.624,93.4,61.4,252.4,False
2,3,12,sksurv GBSA,0.688,194.7,121.8,1021.3,False
2,3,12,sksurv CWGB,0.523,227.9,144.1,1088.5,False
2,3,12,Stacked,0.628,186.9,84.6,671.0,False
2,3,12,Simple Mean,0.67,170.0,79.9,746.3,False
2,3,12,Trimmed Mean,0.661,169.7,80.5,802.5,False
2,3,12,Median,0.656,182.1,82.5,1021.3,False
2,3,12,Geometric Mean,0.688,128.0,71.2,547.4,False
2,3,12,Inv-MAE Weighted,0.67,143.3,77.0,581.3,False
2,3,12,Rank Fusion,0.661,176.3,184.2,496.0,False
2,4,12,Cox PH,0.688,243.9,84.0,1134.0,False
2,4,12,Weibull AFT,0.683,245.0,67.8,1134.0,False
2,4,12,XGB Cox,0.638,119.7,79.1,321.7,False
2,4,12,XGB AFT,0.642,94.6,56.4,253.2,False
2,4,12,sksurv GBSA,0.688,199.8,142.0,1021.3,False
