well,event,actual_months,Cox PH_pred,Cox PH_err,Weibull AFT_pred,Weibull AFT_err,XGB Cox_pred,XGB Cox_err,XGB AFT_pred,XGB AFT_err,sksurv GBSA_pred,sksurv GBSA_err,sksurv CWGB_pred,sksurv CWGB_err,Stacked_pred,Stacked_err
M-67-HRL,1,45.0,259,214,134,89,72,27,31,-14,67,22,303,258,162,117
M-82-HRL,1,48.0,127,79,114,66,20,-28,28,-20,71,23,224,176,69,21
M-81-HRL,1,57.0,88,31,85,28,20,-37,27,-30,73,16,168,111,47,-10
M-58-HRL,1,88.0,275,187,201,113,51,-37,34,-54,204,116,207,119,209,121
M-75-HRL,1,127.0,57,-70,74,-53,20,-107,137,10,168,41,121,-6,45,-82
M-E-2-HRL,0,147.0,57,-90,63,-84,9,-138,74,-73,163,16,17,-130,42,-105
M-65-HRL,1,259.0,284,25,187,-72,52,-207,128,-131,289,30,272,13,198,-61
M-63-HRL,1,275.0,284,9,196,-79,19,-256,127,-148,214,-61,249,-26,236,-39
M-61-HRL,1,284.0,329,45,290,6,185,-99,159,-125,743,459,584,300,228,-56
M-56-HRL,1,299.0,259,-40,119,-180,36,-263,133,-166,103,-196,272,-27,187,-112
M-41-HRL,1,329.0,409,80,1200,871,83,-246,125,-204,638,309,406,77,289,-40
M-50-HRL,1,379.0,299,-80,268,-111,69,-310,132,-247,290,-89,412,33,201,-178
M-57-HRL,0,383.0,329,-54,502,119,83,-300,124,-259,347,-36,285,-98,245,-138
M-11-HRL,1,409.0,1200,791,1200,791,193,-216,148,-261,1200,791,1131,722,819,410
M-22-HRL,0,524.0,379,-145,219,-305,139,-385,43,-481,725,201,1200,676,298,-226
M-13-HRL,0,562.0,1200,638,1200,638,191,-371,130,-432,1200,638,1200,638,863,301
