well,event,actual_months,Cox PH_pred,Weibull AFT_pred,XGB Cox_pred,XGB AFT_pred,sksurv GBSA_pred,sksurv CWGB_pred,Stacked_pred,ens_Simple Mean_pred,ens_Trimmed Mean_pred,ens_Median_pred,ens_Geometric Mean_pred,ens_Inv-MAE Weighted_pred,ens_Rank Fusion_pred,ens_Optimal (MAE)_pred,ens_Optimal (C-idx)_pred
M-67-HRL,1,45.0,259,134,72,31,67,303,162,147,139,134,114,146,143,84,88
M-82-HRL,1,48.0,127,114,20,28,71,224,69,93,82,71,71,89,75,68,69
M-81-HRL,1,57.0,88,85,20,27,73,168,47,72,64,73,58,69,56,55,60
M-58-HRL,1,88.0,275,201,51,34,204,207,209,169,175,204,136,166,227,83,130
M-75-HRL,1,127.0,57,74,20,137,168,121,45,89,87,74,72,86,108,125,135
M-E-2-HRL,0,147.0,57,63,9,74,163,17,42,61,51,57,43,58,51,64,94
M-65-HRL,1,259.0,284,187,52,128,289,272,198,201,214,198,177,198,276,157,205
M-63-HRL,1,275.0,284,196,19,127,214,249,236,189,205,214,150,190,267,155,182
M-61-HRL,1,284.0,329,290,185,159,743,584,228,360,323,290,311,337,383,239,409
M-56-HRL,1,299.0,259,119,36,133,103,272,187,159,160,133,134,163,235,151,145
M-41-HRL,1,329.0,409,1200,83,125,638,406,289,450,373,406,325,397,380,319,345
M-50-HRL,1,379.0,299,268,69,132,290,412,201,239,238,268,209,230,308,191,223
M-57-HRL,0,383.0,329,502,83,124,347,285,245,274,266,285,236,257,318,201,230
M-11-HRL,1,409.0,1200,1200,193,148,1200,1131,819,842,909,1131,643,797,529,439,682
M-22-HRL,0,524.0,379,219,139,43,725,1200,298,429,352,298,278,404,375,234,427
M-13-HRL,0,562.0,1200,1200,191,130,1200,1200,863,855,931,1200,641,812,499,435,687
