well,date,bhp
11,1-Nov-88,1053
11,19-May-90,1067
11,26-Nov-91,1048
11,11-Feb-92,1034
11,23-Aug-93,1022
11,31-Oct-94,1011
11,1-Jan-97,977
11,17-Mar-98,973
11,1-Jul-00,936
11,18-Aug-01,921
11,2-Sep-02,909
11,13-Sep-03,897
11,5-Aug-04,874
11,9-Oct-05,853
11,1-Jan-06,843
11,22-Mar-07,829
11,19-May-08,815
11,28-Feb-09,808
11,1-Jan-10,802
11,1-Jan-11,779
11,1-Jan-12,762
11,9-Dec-14,767
11,19-Mar-16,695
11,5-Jan-18,650
11,18-Feb-20,573
13,1-Sep-88,1027.3
13,1-Sep-89,1011.4
13,17-May-90,959.51
13,24-Mar-91,979.8
13,29-Jan-92,949.7
13,14-Nov-93,974.4
13,8-Sep-94,970.13
13,2-Nov-96,956.89
13,1-Jan-97,924.99
13,10-Sep-98,905.01
13,12-Sep-00,866.97
13,25-Aug-01,856.7
13,9-Sep-02,830.6
13,18-Sep-03,831.4
13,8-Sep-05,799.3131481
13,1-Jan-06,782.7304184
13,31-Mar-07,769.2910249
13,22-May-08,754.3
13,3-Mar-09,744
13,1-Jan-10,729
13,1-Feb-11,710
13,1-Jan-12,701
13,4-Dec-14,647
13,27-Jan-16,620.242
13,15-Jan-20,512.414912
22,1-Dec-88,1087.5
22,1-Jul-89,1085.4
22,11-Mar-90,1153.2
22,2-Dec-91,1034
22,19-Oct-92,1027
22,9-Mar-93,1053.4
22,18-Apr-94,1037.92
22,28-Oct-96,1017.11
22,1-Jan-97,1018.72
22,4-Apr-98,1026.25
22,2-Jun-00,987.29
22,9-Jun-01,979.3
22,8-May-02,962.2
22,6-Oct-03,926.1
22,16-Sep-04,939.57
22,17-Aug-05,914.4287581
22,1-Jan-06,887.1824373
22,24-Jun-07,872.3682691
22,1-Jul-08,869.5
22,20-Jul-09,845
22,1-Jan-10,824.437
22,6-Jan-15,760
22,5-Apr-18,697.791845
22,21-Aug-19,656.672845
22,1-Mar-23,535
41,01-Jul-88,1063
41,14-Jun-89,1046
41,10-Dec-90,1020
41,20-Jun-91,1014
41,06-Jun-92,1016
41,02-Nov-93,968
41,03-Sep-94,979
41,30-Sep-96,959
41,01-Jan-97,928
41,07-Sep-98,919
41,03-Oct-00,879
41,03-Oct-01,858
41,16-Oct-02,831
41,22-Sep-03,820
41,27-Sep-05,791
41,01-Jan-06,782
41,06-Jun-07,766
41,10-Jul-08,754
41,29-Jun-09,710
41,01-Jan-10,703
41,01-Nov-11,699
41,30-Aug-14,649
41,14-Feb-17,628
41,04-Dec-19,544
50,01-Jul-88,1056
50,01-Sep-89,1043
50,21-Mar-90,1021
50,28-Mar-91,1018
50,28-Oct-92,1021
50,13-Nov-93,1039
50,14-Sep-94,1018
50,01-Jan-97,990
50,11-Mar-98,987
50,27-Mar-00,939
50,19-May-01,913
50,30-Apr-02,908
50,20-May-03,876
50,05-Oct-04,873
50,20-Aug-05,844
50,01-Jan-06,839
50,13-Jul-07,816
50,03-Jul-08,801
50,23-Jul-09,780
50,01-Jan-10,759
50,08-Jan-15,697
50,11-Jul-16,664
50,16-Sep-19,584
51,01-Jul-88,1104
51,26-Mar-90,1082
51,06-Mar-91,1101
51,15-Feb-92,1080
51,12-Aug-93,1057
51,03-Jul-94,1050
51,10-Sep-96,1036
51,01-Jan-97,1033
51,08-Oct-98,1032
51,17-Oct-00,987
51,10-Oct-01,1001
51,02-Oct-02,985
51,20-Oct-03,959
51,19-Sep-05,938
51,01-Jan-06,897
51,27-Jun-07,884
51,07-Jul-08,878
51,09-Jul-09,851
51,01-Jan-10,841
51,12-Jan-15,779
51,23-Jul-16,718
51,15-Nov-18,666
51,14-Dec-20,624
56,01-Aug-93,985
56,10-Jul-94,983
56,12-Oct-96,937
56,01-Jan-97,938
56,29-Jul-98,920
56,15-Oct-00,864
56,11-Sep-01,868
56,09-Jan-02,850
56,13-Oct-03,848
56,19-Jan-06,810
56,13-Aug-07,777
56,19-Aug-08,767
56,21-Jan-09,735
56,01-Jan-10,725
56,10-Jul-14,762
56,14-Mar-15,672
56,10-Oct-16,637
56,16-Sep-19,549
57,11-Aug-93,987
57,13-Jul-94,967
57,02-Oct-96,946
57,07-Aug-97,920
57,03-Aug-99,914
57,27-Nov-00,883
57,08-Dec-01,881
57,23-Nov-02,847
57,11-Mar-03,834
57,10-Dec-05,816
57,01-Jan-06,795
57,14-Jun-07,777
57,12-Jul-08,765
57,11-Jun-09,753
57,01-Jan-10,734
57,14-Oct-14,662
57,15-Feb-16,638
57,18-Nov-17,590
57,11-Sep-19,555
58,08-Aug-93,1022
58,17-Jul-94,1016
58,05-Sep-96,981
58,01-Jan-97,980
58,08-Aug-98,922
58,10-Oct-00,957
58,05-Sep-01,952
58,07-Sep-02,936
58,09-Oct-03,895
58,19-Aug-04,905
58,14-Sep-05,887
58,01-Jan-06,864
58,19-Nov-07,842
58,06-Nov-08,839
58,26-Jan-09,819
58,01-Jan-10,803
58,01-Jan-12,765
58,10-Jan-15,739
58,16-Aug-16,707
58,14-Sep-18,636
58,11-Dec-20,598
61,04-Apr-94,1039
61,06-Sep-96,1006
61,01-Jan-97,1008
61,14-Sep-98,984
61,20-Sep-00,946
61,15-Aug-01,940
61,18-Sep-02,911
61,06-Nov-03,877
61,02-Dec-04,885
61,05-Sep-05,867
61,01-Jan-06,840
61,25-Aug-07,836
61,14-Sep-08,859
61,30-Sep-09,811
61,01-Jan-10,796
61,29-Mar-14,746
61,11-Feb-15,725
61,06-Mar-17,686
61,14-May-18,649
61,02-Nov-20,590
63,01-Apr-94,982
63,21-Sep-96,973
63,01-Jan-97,953
63,16-Aug-99,922
63,30-Nov-00,905
63,24-Sep-01,887
63,02-Nov-02,867
63,15-Oct-03,850
63,26-Nov-05,814
63,01-Jan-06,811
63,08-Mar-07,793
63,14-Jun-08,780
63,29-Apr-09,770
63,01-Jan-10,752
63,01-Jan-12,711
63,29-Sep-14,678
63,17-Aug-15,652
63,15-Sep-17,631
63,20-Oct-20,566
65,16-Sep-96,954
65,01-Jan-97,925
65,06-Mar-00,877
65,31-Mar-01,863
65,20-Mar-02,845
65,26-Mar-03,836
65,26-Aug-05,786
65,01-Jan-06,769
65,28-Aug-07,761
65,16-Sep-08,745
65,12-Dec-09,730
65,01-Jan-10,715
65,02-Oct-14,647
65,17-Aug-15,633
65,19-Sep-17,589
67,18-Sep-96,992
67,01-Jan-97,998
67,08-Oct-99,980
67,23-May-01,963
67,25-Apr-02,953
67,21-Apr-03,939
67,09-Dec-05,906
67,01-Jan-06,881
67,09-Mar-07,866
67,19-Sep-08,859
67,07-Dec-09,855
67,01-Jan-10,816
67,01-Jan-12,799
67,01-Oct-14,777
67,27-Aug-15,766
67,08-Sep-17,729
67,20-Jan-20,681
75,31-Mar-03,1096
75,20-Nov-05,1007
75,01-Jan-06,955
75,20-Aug-07,930
75,23-Aug-08,918
75,13-Aug-09,910
75,01-Jan-10,868
75,29-Oct-14,795
75,10-May-16,770
75,15-May-18,718
75,14-Nov-20,680
81,04-Oct-04,1033
81,24-Nov-05,980
81,01-Jan-06,931
81,17-Jul-07,911
81,07-Aug-08,935
81,05-Aug-09,890
81,01-Jan-10,870
81,07-Nov-14,747
81,14-Mar-16,754
81,03-Aug-18,688
82,06-Oct-04,1004
82,30-Aug-05,979
82,01-Jan-06,946
82,04-Oct-07,914
82,13-Oct-08,893
82,02-Jan-09,875
82,01-Jan-10,854
82,19-Mar-16,753
82,10-Feb-18,673
E-2,22-Nov-08,989
E-2,28-Jan-14,870
E-2,18-Feb-15,842
E-2,28-Jan-17,749
E-2,06-Mar-19,740
E-2,01-Feb-20,712
122H,01-Jul-23,646
123H,01-Jul-24,601
124H,01-Jul-24,655
125H,01-May-25,560
126H,01-May-25,
