DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
12-Jan-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,303.747,98.701,283.535,0.0,1.18175,%,20.212,8.396,20.146,0,0,0,,production,OP
13-Jan-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,303.955,98.734,280.695,0.0,1.19706,%,23.26,6.328,23.189,0,0,0,,production,OP
14-Jan-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,303.377,98.792,282.03,0.0,1.12514,%,21.347,6.83,21.275,0,0,0,,production,OP
15-Jan-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,304.405,98.102,272.53,0.586,2.61021,%,31.875,7.687,27.094,0,0,0,,production,OP
16-Jan-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,241.771,104.899,185.9,19.057,8.66059,%,55.871,16.9,27.966,351,"52,395",0,,production,OP
17-Jan-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,213.852,106.293,162.214,19.866,9.47037,%,51.638,22.363,22.347,485,"72,059",0,,production,OP
18-Jan-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,206.615,106.375,157.926,27.815,9.68774,%,48.689,22.23,19.859,513,"77,601",0,,production,OP
19-Jan-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,203.075,106.392,156.51,25.723,9.73094,%,46.565,20.959,18.044,498,"72,928",0,,production,OP
20-Jan-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,203.981,106.317,157.11,12.026,9.40124,%,46.87,21.194,18.355,470,"67,199",0,,production,OP
21-Jan-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,201.568,106.335,155.713,11.711,9.58125,%,45.855,22.555,17.349,479,"68,123",0,,production,OP
22-Jan-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,199.666,106.343,154.668,11.241,9.5359,%,44.999,22.471,16.5,495,"69,287",0,,production,OP
23-Jan-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,200.192,106.297,155.057,8.771,9.4146,%,45.135,23.344,16.587,430,"60,810",0,,production,OP
24-Jan-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,200.638,106.268,155.433,7.196,9.40036,%,45.205,22.776,16.687,409,"58,875",0,,production,OP
25-Jan-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,200.993,106.248,155.746,6.391,9.35825,%,45.248,26.75,16.706,444,"65,515",0,,production,OP
26-Jan-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,200.489,106.257,155.467,9.757,9.37573,%,45.022,24.84,16.486,361,"51,614",0,,production,OP
27-Jan-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,200.176,106.261,155.336,11.608,9.40478,%,44.841,20.161,16.257,362,"49,963",0,,production,OP
28-Jan-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,201.553,106.213,156.316,10.427,9.34953,%,45.238,21.594,16.701,378,"54,600",0,,production,OP
29-Jan-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,8.14,200.496,106.268,155.991,11.052,4.61685,%,44.504,22.07,16.146,0,0,0,,production,OP
31-Jan-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,19.78,212.381,105.599,162.528,3.125,3.84505,%,49.853,17.898,20.448,0,0,0,,production,OP
01-Feb-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,200.397,106.326,155.166,11.129,4.16839,%,45.231,21.421,15.865,356,"54,305",0,,production,OP
02-Feb-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,200.859,106.334,155.39,12.824,3.74227,%,45.469,27.256,16.133,338,"50,474",0,,production,OP
03-Feb-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,200.128,106.361,154.929,14.034,3.70024,%,45.199,27.99,15.887,336,"49,831",0,,production,OP
04-Feb-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,199.893,106.368,154.827,13.957,3.60195,%,45.066,25.652,15.768,326,"48,306",0,,production,OP
05-Feb-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,200.064,106.363,155.001,13.706,3.44367,%,45.063,24.856,15.651,312,"46,244",0,,production,OP
06-Feb-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,7.88,201.714,106.334,156.601,12.727,1.98306,%,45.113,23.016,13.978,118,"18,016",0,,production,OP
08-Feb-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,21.94,218.038,105.666,165.105,3.055,3.04424,%,52.933,21.401,23.857,381,"55,852",0,,production,OP
09-Feb-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,200.951,106.432,155.226,13.662,4.86512,%,45.725,27.181,16.383,374,"56,015",0,,production,OP
10-Feb-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,12.0,205.635,106.086,158.531,8.271,5.09169,%,47.104,26.718,17.15,334,"53,596",0,,production,OP
11-Feb-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,15.39,200.274,106.457,155.382,14.126,4.16108,%,44.891,29.054,14.746,263,"42,216",0,,production,OP
12-Feb-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,23.28,210.426,106.001,161.444,5.812,3.6178,%,48.982,24.662,18.254,334,"50,976",0,,production,OP
13-Feb-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,199.809,106.476,154.716,14.965,3.95898,%,45.093,25.795,15.596,370,"55,984",0,,production,OP
14-Feb-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,199.952,106.467,154.806,15.282,3.66738,%,45.145,29.194,15.776,348,"52,647",0,,production,OP
15-Feb-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,199.248,106.48,154.401,15.317,3.59948,%,44.846,28.018,15.844,338,"50,821",0,,production,OP
16-Feb-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,200.853,106.431,155.522,14.189,3.23864,%,45.331,31.097,15.981,308,"46,422",0,,production,OP
17-Feb-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,200.865,106.433,155.587,14.359,3.22426,%,45.277,33.24,15.941,262,"40,060",0,,production,OP
18-Feb-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,11.17,208.113,105.984,163.051,11.146,2.86487,%,45.062,29.002,15.611,134,"21,255",0,,production,OP
19-Feb-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,203.094,106.299,157.456,17.919,3.51411,%,45.638,28.964,16.036,301,"45,779",0,,production,OP
20-Feb-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,199.765,106.456,155.26,24.077,3.25506,%,44.505,26.181,14.91,281,"42,584",0,,production,OP
21-Feb-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,200.712,106.441,155.6,23.685,2.98985,%,45.112,27.705,15.52,256,"38,816",0,,production,OP
22-Feb-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,201.181,106.429,155.887,23.363,2.86953,%,45.294,28.35,15.718,252,"38,050",0,,production,OP
23-Feb-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,200.953,106.441,155.77,23.135,2.91979,%,45.183,27.962,15.642,251,"38,162",0,,production,OP
24-Feb-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,200.6,106.445,155.458,23.262,2.91297,%,45.142,29.163,15.612,278,"42,002",0,,production,OP
